threshold,accuracy
0.0,0.5121951219512195
0.01,0.624390243902439
0.02,0.6292682926829268
0.03,0.6536585365853659
0.04,0.6536585365853659
0.05,0.6634146341463415
0.06,0.6634146341463415
0.07,0.6634146341463415
0.08,0.6829268292682927
0.09,0.7219512195121951
0.1,0.7219512195121951
0.11,0.7268292682926829
0.12,0.7414634146341463
0.13,0.7414634146341463
0.14,0.7951219512195122
0.15,0.8
0.16,0.8
0.17,0.8
0.18,0.8048780487804879
0.19,0.8146341463414634
0.2,0.8146341463414634
0.21,0.8146341463414634
0.22,0.8146341463414634
0.23,0.8146341463414634
0.24,0.8146341463414634
0.25,0.8048780487804879
0.26,0.8048780487804879
0.27,0.8048780487804879
0.28,0.8048780487804879
0.29,0.8
0.3,0.8
0.31,0.8
0.32,0.8
0.33,0.7902439024390244
0.34,0.7902439024390244
0.35000000000000003,0.7951219512195122
0.36,0.7951219512195122
0.37,0.7951219512195122
0.38,0.7951219512195122
0.39,0.8
0.4,0.8
0.41000000000000003,0.8097560975609757
0.42,0.8097560975609757
0.43,0.8146341463414634
0.44,0.8195121951219512
0.45,0.824390243902439
0.46,0.824390243902439
0.47000000000000003,0.824390243902439
0.48,0.824390243902439
0.49,0.824390243902439
0.5,0.824390243902439
0.51,0.824390243902439
0.52,0.8195121951219512
0.53,0.8390243902439024
0.54,0.8536585365853658
0.55,0.8682926829268293
0.56,0.8682926829268293
0.5700000000000001,0.8682926829268293
0.58,0.8731707317073171
0.59,0.8780487804878049
0.6,0.8731707317073171
0.61,0.8731707317073171
0.62,0.8682926829268293
0.63,0.8682926829268293
0.64,0.8634146341463415
0.65,0.8634146341463415
0.66,0.8585365853658536
0.67,0.8439024390243902
0.68,0.848780487804878
0.6900000000000001,0.848780487804878
0.7000000000000001,0.848780487804878
0.71,0.848780487804878
0.72,0.848780487804878
0.73,0.848780487804878
0.74,0.8536585365853658
0.75,0.8439024390243902
0.76,0.8390243902439024
0.77,0.8341463414634146
0.78,0.8341463414634146
0.79,0.824390243902439
0.8,0.824390243902439
0.81,0.824390243902439
0.8200000000000001,0.8195121951219512
0.8300000000000001,0.8195121951219512
0.84,0.7414634146341463
0.85,0.7170731707317073
0.86,0.7170731707317073
0.87,0.7170731707317073
0.88,0.7170731707317073
0.89,0.7170731707317073
0.9,0.7170731707317073
0.91,0.7170731707317073
0.92,0.7170731707317073
0.93,0.7170731707317073
0.9400000000000001,0.7024390243902439
0.9500000000000001,0.7024390243902439
0.96,0.6926829268292682
0.97,0.6926829268292682
0.98,0.6390243902439025
0.99,0.6097560975609756
1.0,0.5756097560975609
