Feature,Importance
cp,0.15170034625387857
thalach,0.11763785519237335
ca,0.11594218431145538
thal,0.11096508280499395
oldpeak,0.10083358959197498
age,0.09248555186046341
chol,0.07069154001786138
exang,0.07038503959800076
trestbps,0.06921192138310982
slope,0.0408978331422373
sex,0.03310178018696181
restecg,0.01803980405611991
fbs,0.00810747160056929
